ECH;Largeur;Famille;Genre;Espèce;Sexe;Espece_Conc;ITD;Size;Parrain;Coll.;Dét.;ID;Commune;Addresse;Latitude;Longitude;Nombre de nid;Longueur des nids;Largeur trottoir;date observation;photos;hauteur façade en face;Situation des nids;remarque
10;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;13;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir;Formulaire
10;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;13;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir;Formulaire
10;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;13;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir;Formulaire
10;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;13;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir;Formulaire
10;1,4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;3;13;(Kirby 1802);G. Noël;J. Bonnet;10;Schaerbeek;Avenue Maréchal Foch, 2-20;50,8683757;4,3744113;400;50;2;22.IV.2020;13h30;Pavés;Trottoir;Formulaire
14;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
14;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
14;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
14;0,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
14;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
14;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,3;12,5;(Kirby 1802);G. Noël;J. Bonnet;14;Etterbeek;Rue Dekens entre les numéros 7-11;50,8387758;4,387673;8;5;;10.IV.2020;13h00;Pavés grès;Trottoir;Découverte
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
17;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
17;2,1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
17;0,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,5;11;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir;Formulaire
20;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
20;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
20;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
20;1,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
20;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
20;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,9;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir;Formulaire
23;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
23;1,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
23;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
23;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
23;1,6;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;2,7;9,8;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir;Formulaire
