ECH;Size;Family;Genus;Species;Sex;Espece_Conc;Line;Coll.;Det.;ID;Municipality;Address;Latitude;Longitude;Nest number;Nest length [m];Nest size [m];Date;P;Pavement type;Pavement location
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
17;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
17;2,1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
17;0,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
17;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;17;Schaerbeek;Rue du Saphir, à gauche du 32;50,85356618;4,397974931;500;13;3;23.IV.2020;17h00;Pavés grès;Trottoir
20;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
20;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
20;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
20;1,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
20;1,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
20;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;20;Ville de Bruxelles;Rue de l'écuelle, 19;50,8479867;4,3907688;40;5;2;21.IV.2020;13h00;Pavés grès;Trottoir
21;2,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
21;1,4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
21;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
21;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
21;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
21;2,4;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;21;Ixelles;Rue Emile Janson, 34-50;50,82732133;4,360590751;70;45;3;22.IV.2020;16h00;Pavés;Trottoir
23;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
23;1,2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
23;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
23;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
23;1,6;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
23;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;23;Watermael-Boitsfort;Rue des touristes, 24;50,807009;4,4040085;20;4;8;17h00;16h00;Pavés grès;Trottoir
27;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;27;Watermael-Boitsfort;Avenue de la tenderie 72;50,8015396;4,406472;2;2;;15.IV.2020;13h00;Dalles béton;Trottoir
27;0,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;27;Watermael-Boitsfort;Avenue de la tenderie 72;50,8015396;4,406472;2;2;;15.IV.2020;13h00;Dalles béton;Trottoir
29;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
29;2;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
29;1,8;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
29;1,7;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
29;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
29;0,5;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;29;Schaerbeek;Avenue Maréchal Foch, 7-19;50,8685995;4,3739861;200;40;2;22.IV.2020;13h00;Pavés;Trottoir
31;0,3;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
31;1;Andrenidae;Andrena;barbilabris;female;Andrena_barbilabris;(Kirby 1802);G. Noël;J. Bonnet;31;Saint-Gilles;Avenue du Mont Kemmel, 26-32;50,8239736;4,3409383;175;15;3;25.IV.2020;14h30;Pavés;Trottoir
